Ticker,Broker Name,Estimate Date,Revenue CY2025,EBITDA CY2025,EBIT CY2025,Net Debt CY2025,DPS CY2025,EBITDA Margin CY2025
AAPL.O,ALETHEIA CAPITAL,31 Dec 25,401650.0,135950.0,124400.0,,1.0675,0.33847877505290674
AAPL.O,ALLARIA LEDESMA Y CIA SA,31 Dec 25,425664.75,,,,,
AAPL.O,ARC INDEPENDENT RESEARCH,31 Dec 25,416250.0,,,,,
AAPL.O,ARETE RESEARCH SERVICES LLP,31 Dec 25,424656.25,151833.75,139226.75,-45019.25,1.08,0.35754507322098755
AAPL.O,BARCLAYS,31 Dec 25,412005.75,145546.75,129270.5,-28257.0,1.025,0.35326388041914464
AAPL.O,BOFA,31 Dec 25,414882.8975,155078.0875,142609.825,,1.0325,0.3737876119610353
AAPL.O,CHINA INTERNATIONAL CAPITAL CORPORATION (HONG KONG) LIMITED,31 Dec 25,418963.25,144365.5,133603.75,,1.0325,0.34457795522638324
AAPL.O,CHINA RENAISSANCE,31 Dec 25,409872.75,140681.5,128776.25,,,0.34323213729139107
AAPL.O,CITIGROUP,31 Dec 25,412441.425,139883.6,128587.85,,1.038,0.3391599182841539
AAPL.O,CLEVELAND RESEARCH,31 Dec 25,413033.5,,132802.0,,,
AAPL.O,CRISPIDEA PRIVATE LIMITED,31 Dec 25,412268.2,143319.8825,131364.1,,,0.3476374905947148
AAPL.O,D.A. DAVIDSON & COMPANY,31 Dec 25,409596.25,,130318.25,,,
AAPL.O,DAISHIN SECURITIES,31 Dec 25,417750.0,,139100.0,,,
AAPL.O,DAIWA SECURITIES,31 Dec 25,410803.75,,131465.25,,1.035,
AAPL.O,EQUISIGHTS,31 Dec 25,413687.5875,142150.795,130450.6575,-41816.315,,0.34361870961380975
AAPL.O,EVERBRIGHT SECURITIES,31 Dec 25,402903.25,120160.0,119657.0,,1.02,0.29823537040219955
AAPL.O,EVERCORE ISI,31 Dec 25,412760.75,144589.5,130521.0,,,0.35029856884405797
AAPL.O,GOLDMAN SACHS,31 Dec 25,415878.47225,141239.2815,129974.49325,-38912.58225,1.03,0.3396167172007303
AAPL.O,GUOSHENG SECURITIES,31 Dec 25,416425.25,,135313.0,,,
